songfilename,SongName,Speed,Condition,fileblock,testdurationsec,songCondFile,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,multiply,11,2,22,29,26,27,0,0,0,1,0,7,7,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.46323950000806,61.46323950000806,61.46323950000806,61.46323950000806,61.46323950000806,0.012187000014819205,61.46323950000806,True,-0.09537037037037037,-0.39351851851851855,1,0,0,ansTwo,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,add,54,11,65,71,68,75,0,0,0,1,0,8,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.47989730001427,63.47989730001427,63.47989730001427,63.47989730001427,63.47989730001427,0.016735200013499707,63.47989730001427,True,0.10740740740740741,-0.40185185185185185,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,multiply,10,11,110,114,116,120,0,0,0,1,0,9,9,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9456054000184,67.9456054000184,67.9456054000184,67.9456054000184,67.9456054000184,0.013942799996584654,67.9456054000184,True,-0.29074074074074074,-0.38796296296296295,1,0,0,ansOne,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,add,58,11,69,73,79,83,0,0,0,1,0,10,10,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.84536530001787,69.84536530001787,69.84536530001787,69.84536530001787,69.84536530001787,0.012749799992889166,69.84536530001787,True,-0.10462962962962963,-0.39444444444444443,1,0,0,ansTwo,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,multiply,6,10,60,61,68,70,0,0,0,1,0,11,11,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.82925840001553,73.82925840001553,73.82925840001553,73.82925840001553,73.82925840001553,0.016313100000843406,73.82925840001553,True,0.1,-0.39444444444444443,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,add,54,13,67,69,70,74,0,0,0,1,0,12,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.76092700002482,77.76092700002482,77.76092700002482,77.76092700002482,77.76092700002482,0.010551500017754734,77.76092700002482,True,-0.30185185185185187,-0.3990740740740741,1,0,0,ansOne,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,subtract,44,11,33,39,23,37,0,0,0,1,0,13,13,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.57702870003413,81.57702870003413,81.57702870003413,81.57702870003413,81.57702870003413,0.012901000038255006,81.57702870003413,True,-0.29444444444444445,-0.4064814814814815,1,0,0,ansOne,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,add,44,26,70,77,79,78,0,0,0,1,0,14,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.2760840000119,88.2760840000119,88.2760840000119,88.2760840000119,88.2760840000119,0.013508400006685406,88.2760840000119,True,0.10740740740740741,-0.4009259259259259,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,add,44,11,55,57,61,56,0,0,0,1,0,15,15,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.76060130004771,91.76060130004771,91.76060130004771,91.76060130004771,91.76060130004771,0.015271399985067546,91.76060130004771,True,-0.10648148148148148,-0.39444444444444443,1,0,0,ansTwo,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,add,53,26,79,80,87,80,0,0,0,1,0,16,16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.69547580002109,93.69547580002109,93.69547580002109,93.69547580002109,93.69547580002109,0.01742230000672862,93.69547580002109,True,-0.11481481481481481,-0.4148148148148148,1,0,0,ansTwo,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,subtract,58,53,5,11,7,13,0,0,0,1,0,17,17,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.45809870003723,97.45809870003723,97.45809870003723,97.45809870003723,97.45809870003723,0.011751600017305464,97.45809870003723,True,0.1,-0.39166666666666666,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,multiply,2,6,12,20,22,15,0,0,0,1,0,18,18,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.82447320001666,99.82447320001666,99.82447320001666,99.82447320001666,99.82447320001666,0.010353599966038018,99.82447320001666,True,-0.0962962962962963,-0.39814814814814814,1,0,0,ansTwo,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,add,56,54,110,116,118,122,0,0,0,1,0,19,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.07431670004735,102.07431670004735,102.07431670004735,102.07431670004735,102.07431670004735,0.01846950000617653,102.07431670004735,True,0.10925925925925926,-0.3972222222222222,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,subtract,44,26,18,22,25,8,0,0,0,1,0,20,20,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.99016630003462,106.99016630003462,106.99016630003462,106.99016630003462,106.99016630003462,0.01267960004042834,106.99016630003462,True,-0.3,-0.39537037037037037,1,0,0,ansOne,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,multiply,14,10,140,146,141,143,0,0,0,1,0,21,21,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.77164240001002,119.77164240001002,119.77164240001002,119.77164240001002,119.77164240001002,0.014422999985981733,119.77164240001002,True,-0.08148148148148149,-0.3907407407407407,1,0,0,ansTwo,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,multiply,10,6,60,65,67,68,0,0,0,1,0,22,22,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.64059970004018,121.64059970004018,121.64059970004018,121.64059970004018,121.64059970004018,0.01487519999500364,121.64059970004018,True,-0.11296296296296296,-0.40185185185185185,1,0,0,ansTwo,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,multiply,11,10,110,114,115,111,0,0,0,1,0,23,23,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.38780610001413,123.38780610001413,123.38780610001413,123.38780610001413,123.38780610001413,0.012449400033801794,123.38780610001413,True,-0.1037037037037037,-0.39814814814814814,1,0,0,ansTwo,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,subtract,57,54,3,5,7,5,0,0,0,1,0,24,24,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.20427080005175,125.20427080005175,125.20427080005175,125.20427080005175,125.20427080005175,0.012908199976664037,125.20427080005175,True,-0.10092592592592593,-0.39537037037037037,1,0,0,ansTwo,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,multiply,11,10,110,120,117,113,0,0,0,1,0,25,25,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.20606280001812,127.20606280001812,127.20606280001812,127.20606280001812,127.20606280001812,0.016523899976164103,127.20606280001812,True,-0.29907407407407405,-0.4027777777777778,1,0,0,ansOne,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,add,63,58,121,127,129,133,0,1,1,8,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,133.80319840001175,0.012507600011304021,-0.04814814814814815,-0.32314814814814813,1,0,0,138.33573900000192,138.33573900000192,138.33573900000192,138.33573900000192,138.33573900000192,0.02564830001210794,138.33573900000192,True,-0.3055555555555556,-0.3962962962962963,1,0,0,ansOne,128.7871368000051,133.80319840001175,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,multiply,11,10,110,120,118,116,0,1,1,8,0,1,1,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.20268909999868,144.20268909999868,144.20268909999868,144.20268909999868,144.20268909999868,0.015313500014599413,144.20268909999868,True,0.09074074074074075,-0.39166666666666666,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,add,58,21,79,85,82,83,0,1,1,8,0,2,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.85148470004788,145.85148470004788,145.85148470004788,145.85148470004788,145.85148470004788,0.016033600026275963,145.85148470004788,True,0.11018518518518519,-0.39814814814814814,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,multiply,10,11,110,120,111,116,0,1,1,8,0,3,3,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.1016890000319,150.1016890000319,150.1016890000319,150.1016890000319,150.1016890000319,0.01552259997697547,150.1016890000319,True,0.07777777777777778,-0.4,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,add,54,26,80,81,83,87,0,1,1,8,0,4,4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0171243000077,152.0171243000077,152.0171243000077,152.0171243000077,152.0171243000077,0.012299599999096245,152.0171243000077,True,-0.3037037037037037,-0.3972222222222222,1,0,0,ansOne,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,add,53,21,74,77,75,77,0,1,1,8,0,5,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.9501978000044,154.9501978000044,154.9501978000044,154.9501978000044,154.9501978000044,0.019872100034262985,154.9501978000044,True,0.10185185185185185,-0.40555555555555556,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,subtract,58,54,4,9,8,7,0,1,1,8,0,6,6,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.8535436000093,158.8535436000093,158.8535436000093,158.8535436000093,158.8535436000093,0.014924100018106401,158.8535436000093,True,-0.10462962962962963,-0.4009259259259259,1,0,0,ansTwo,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,add,58,53,111,118,117,113,0,1,1,8,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.84900300001027,160.84900300001027,160.84900300001027,160.84900300001027,160.84900300001027,0.015120500000193715,160.84900300001027,True,-0.2962962962962963,-0.3990740740740741,1,0,0,ansOne,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,subtract,60,58,2,7,9,4,0,1,1,8,0,8,8,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.13217920000898,163.13217920000898,163.13217920000898,163.13217920000898,163.13217920000898,0.01535809994675219,163.13217920000898,True,-0.30185185185185187,-0.3962962962962963,1,0,0,ansOne,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,multiply,2,6,12,20,22,15,0,1,1,8,0,9,9,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.86870480002835,166.86870480002835,166.86870480002835,166.86870480002835,166.86870480002835,0.015281900006812066,166.86870480002835,True,0.09722222222222222,-0.39537037037037037,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,add,58,13,71,79,76,80,0,1,1,8,0,10,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.01476330001606,169.01476330001606,169.01476330001606,169.01476330001606,169.01476330001606,0.013738400011789054,169.01476330001606,True,-0.30833333333333335,-0.40185185185185185,1,0,0,ansOne,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,multiply,14,5,70,76,77,71,0,1,1,8,0,11,11,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.51444580004318,171.51444580004318,171.51444580004318,171.51444580004318,171.51444580004318,0.012944999965839088,171.51444580004318,True,0.11388888888888889,-0.38981481481481484,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,multiply,11,10,110,114,115,111,0,1,1,8,0,12,12,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.86392319999868,174.86392319999868,174.86392319999868,174.86392319999868,174.86392319999868,0.0134587999782525,174.86392319999868,True,0.09259259259259259,-0.39444444444444443,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,multiply,10,6,60,66,70,67,0,1,1,8,0,13,13,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.6805108000408,176.6805108000408,176.6805108000408,176.6805108000408,176.6805108000408,0.014346099982503802,176.6805108000408,True,-0.29814814814814816,-0.3972222222222222,1,0,0,ansOne,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,multiply,14,10,140,144,146,143,0,1,1,8,0,14,14,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.2830934000085,179.2830934000085,179.2830934000085,179.2830934000085,179.2830934000085,0.016219799988903105,179.2830934000085,True,-0.10648148148148148,-0.39814814814814814,1,0,0,ansTwo,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,multiply,6,10,60,67,62,66,0,1,1,8,0,15,15,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.74646510003367,180.74646510003367,180.74646510003367,180.74646510003367,180.74646510003367,0.012665099988225847,180.74646510003367,True,0.10185185185185185,-0.3990740740740741,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,subtract,53,13,40,45,46,48,0,1,1,8,0,16,16,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.31516210001428,182.31516210001428,182.31516210001428,182.31516210001428,182.31516210001428,0.014472700015176088,182.31516210001428,True,0.10740740740740741,-0.39351851851851855,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
music\calm\instrumentals\Younger Then (90) (Instrumental) by Allebasi.wav,younger then,calm,instrumental,1,90,A,subtract,54,26,28,18,33,37,0,1,1,8,0,17,17,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.46264010004234,185.46264010004234,185.46264010004234,185.46264010004234,185.46264010004234,0.013187500007916242,185.46264010004234,True,0.10833333333333334,-0.39166666666666666,1,0,0,ansThree,,,,,,,,,,,,,,,,,002,2022-11-02_00h22.36.021,musicalMathTest,2022.2.0,60.05151218790269,
